"","x"
"87",0.0156982523324645
"88",0.0158688236340422
"89",0.0160393969604984
"90",0.0162105982024029
"91",0.0163824831364224
"92",0.0165550047301376
"93",0.0169020087461731
"94",0.01707652474006
"95",0.0174275364781338
"96",0.0176040428185953
"97",0.0177812235706702
"98",0.0179590828102791
"99",0.0181376267173911
"100",0.0183169150712595
"101",0.0184968989162313
"102",0.0186775837094249
"103",0.0188589725742011
"104",0.0190410731879983
"105",0.0192238906742892
"106",0.0194074251631123
"107",0.0195916835389645
"108",0.0197766657707773
"109",0.0199623878443371
"110",0.0201488557020809
"111",0.0203361351812585
"112",0.0205241726855814
"113",0.0207129743526167
"114",0.0209026077933517
"115",0.0210930187641811
"116",0.0212842115931675
"117",0.0214762062747897
"118",0.0216689929657695
"119",0.0218626468141244
"120",0.0220571073526909
"121",0.0222524503310338
"122",0.0224486173367528
"123",0.0226456287615652
"124",0.0228435469327403
"125",0.0230423796255957
"126",0.0232420616663548
"127",0.0234426069578123
"128",0.0236440228853484
"129",0.0238463120509848
"130",0.0240494855006797
"131",0.0242535525732652
"132",0.0244585217699401
"133",0.024666525860612
"134",0.0248754663134635
"135",0.0250853391616827
"136",0.0252961792573011
"137",0.0255079954633224
"138",0.0257207823874398
"139",0.025934546184653
"140",0.0261493773081511
"141",0.0263652084113914
"142",0.0265820426278497
"143",0.0267998868441675
"144",0.0270188409698099
"145",0.0272389151173009
"146",0.0274601203727221
"147",0.0276823999149328
"148",0.0279057453131309
"149",0.0281301652921704
"150",0.0285824544112561
"151",0.0288102521308421
"152",0.0290391710048202
"153",0.02926931492187
"154",0.0295005947490562
"155",0.0297330266156367
"156",0.0299666192496866
"157",0.0304373751605095
"158",0.0306746277992547
"159",0.0309130978309084
"160",0.0311528956479763
"161",0.0316361926671928
"162",0.0318797204096968
"163",0.0321245134820596
"164",0.0323707091801812
"165",0.0326181986094781
"166",0.0328670150973184
"167",0.0333686596822725
"168",0.0336215202519194
"169",0.0338758753325088
"170",0.0341316294339096
"171",0.0343889124652734
"172",0.0346476125650775
"173",0.034907752955357
"174",0.0351693364870939
"175",0.0354323939791027
"176",0.0356969344910803
"177",0.0359629779229715
"178",0.0362306773134188
"179",0.0364999175672703
"180",0.0367707075997968
"181",0.0370430656804999
"182",0.0373170324205315
"183",0.0375926153370741
"184",0.0378698452200293
"185",0.03814874195826
"186",0.0384293259039965
"187",0.0387116061924828
"188",0.0389956006823668
"189",0.0392813348142214
"190",0.0395688345309577
"191",0.0398581268146571
"192",0.0401493779199975
"193",0.0404424486598165
"194",0.0407373732625574
"195",0.0410341604443697
"196",0.0413328296553751
"197",0.0416334173522539
"198",0.0419359484616446
"199",0.0422404409943343
"200",0.0425469159070309
"201",0.0428554092945229
"202",0.0431659378011558
"203",0.0434785423353078
"204",0.0437932365025475
"205",0.0441100772088293
"206",0.0444290732870021
"207",0.0447502726851404
"208",0.0450738866037864
"209",0.0453997504403622
"210",0.0457278848125887
"211",0.0460585412796955
"212",0.0463915367766047
"213",0.0467269235210226
"214",0.0470647510038093
"215",0.0474050170581771
"216",0.0477477626642673
"217",0.0480930202597653
"218",0.0484408511904013
"219",0.0487915177013219
"220",0.049144839147122
"221",0.049500831251305
"222",0.0498595514369291
"223",0.0502210624112715
"224",0.0505856368705432
"225",0.0509530975579601
"226",0.0513234878321458
"227",0.0516938833294328
"228",0.0520672162757563
"229",0.0524435507518992
"230",0.0528229151672751
"231",0.05320538504062
"232",0.0535910219078992
"233",0.0539798513840031
"234",0.0543719233066179
"235",0.0547676044044357
"236",0.0551666465797048
