"","x"
"141",0.0311881449926441
"142",0.0313314276505135
"143",0.0317385424301935
"144",0.0319547639001968
"145",0.0321232684986961
"146",0.0323162016119424
"147",0.0324853305021413
"148",0.0326547517277034
"149",0.03272745056128
"150",0.0329215786461012
"151",0.0331404357380823
"152",0.0333597872377489
"153",0.0335062963055218
"154",0.0337509679265787
"155",0.0340699633036004
"156",0.0342175441642554
"157",0.0343653485906995
"158",0.0345133778344746
"159",0.0346863629520949
"160",0.0348844374602993
"161",0.0351077295820927
"162",0.035431125320673
"163",0.0355557951228907
"164",0.0356556460746658
"165",0.0358056151594907
"166",0.0359808719168639
"167",0.036231785394004
"168",0.0364581605217374
"169",0.0365841385767747
"170",0.0368871025221362
"171",0.0370896029115982
"172",0.0372671391122622
"173",0.0373687343255838
"174",0.0375467802045677
"175",0.0377251516500271
"176",0.0378272246244489
"177",0.0379805341226484
"178",0.0381084758576829
"179",0.0381853211570473
"180",0.0383905371759318
"181",0.0384933069577223
"182",0.0385704550896696
"183",0.038673413604574
"184",0.0388538516060976
"185",0.039060475609556
"186",0.0392157316467747
"187",0.0393193729798812
"188",0.0395010093093138
"189",0.0395529671473151
"190",0.0397871194073955
"191",0.0400218343565898
"192",0.040152475716129
"193",0.0402309446629306
"194",0.0403880718104474
"195",0.0404405036723792
"196",0.0406767977186723
"197",0.0408609797673094
"198",0.0409663832683362
"199",0.0411247031181098
"200",0.0413097353276307
"201",0.0413626660079588
"202",0.0414951184223792
"203",0.041654298048444
"204",0.0418137367346215
"205",0.0419468014076816
"206",0.0421067185735005
"207",0.0422401825994736
"208",0.0424273395219597
"209",0.0425612433579351
"210",0.042775872973191
"211",0.0428833653668605
"212",0.0429640625877722
"213",0.0432605265518642
"214",0.0433145264010147
"215",0.0434496575483284
"216",0.0435308261684647
"217",0.0437476055790343
"218",0.0438290220925541
"219",0.0440192595216602
"220",0.0441009041291517
"221",0.0442643989922086
"222",0.0443735479425596
"223",0.0444281685821555
"224",0.0446195840019405
"225",0.0447565405067866
"226",0.0447839549508449
"227",0.0449760737462583
"228",0.0451135345695101
"229",0.0451961043453574
"230",0.0453338755485442
"231",0.0454442322513842
"232",0.0455270815951026
"233",0.0456929913481337
"234",0.0457760520628499
"235",0.0458869097271625
"236",0.0461090048726903
"237",0.046164607410474
"238",0.046303752302554
